query_id,query_type,ground_truth,retrieved_top_1,found_in_top_5,latency_s,max_cosine_score
Q_PARA_0,paraphrased,REG-15_CHUNK-0266,REG-15_CHUNK-0266,True,0.0,0.0
Q_PARA_1,paraphrased,ACT-16_CHUNK-0576,ACT-16_CHUNK-0576,True,0.0,0.0
Q_PARA_2,paraphrased,ACT-08_CHUNK-0047_SUB-4_SUB-16,ACT-08_CHUNK-0047_SUB-4_SUB-16,True,0.0,0.0
Q_PARA_3,paraphrased,ACT-07_CHUNK-2239,ACT-07_CHUNK-2239,True,0.0,0.0
Q_PARA_4,paraphrased,ACT-07_CHUNK-3681,ACT-07_CHUNK-3681,True,0.0,0.0
Q_PARA_5,paraphrased,REG-04_CHUNK-1682_SUB-2_SUB-6,REG-04_CHUNK-1682_SUB-2_SUB-6,True,0.0,0.0
Q_PARA_6,paraphrased,REG-05_CHUNK-0489,REG-05_CHUNK-0489,True,0.0,0.0
Q_PARA_7,paraphrased,REG-02_CHUNK-1325_SUB-3,REG-02_CHUNK-1325_SUB-3,True,0.0,0.0
Q_PARA_8,paraphrased,REG-04_CHUNK-1306_SUB-24,REG-04_CHUNK-1306_SUB-24,True,0.0,0.0
Q_PARA_9,paraphrased,ACT-04_CHUNK-0843,ACT-04_CHUNK-0843,True,0.0,0.0
Q_PARA_10,paraphrased,ACT-04_CHUNK-0628,ACT-04_CHUNK-0628,True,0.0,0.0
Q_PARA_11,paraphrased,ACT-03_CHUNK-0260,ACT-03_CHUNK-0260,True,0.0,0.0
Q_PARA_12,paraphrased,REG-05_CHUNK-0182,REG-05_CHUNK-0182,True,0.0,0.0
Q_PARA_13,paraphrased,ACT-06_CHUNK-0187_SUB-7,ACT-06_CHUNK-0187_SUB-7,True,0.0,0.0
Q_PARA_14,paraphrased,REG-10_CHUNK-1121_SUB-22,REG-10_CHUNK-1121_SUB-22,True,0.0,0.0
Q_PARA_15,paraphrased,REG-14_CHUNK-2654,REG-14_CHUNK-2654,True,0.0,0.0
Q_PARA_16,paraphrased,REG-09_CHUNK-0903_SUB-3,REG-09_CHUNK-0903_SUB-3,True,0.0,0.0
Q_PARA_17,paraphrased,REG-02_CHUNK-1331,REG-02_CHUNK-1331,True,0.0,0.0
Q_PARA_18,paraphrased,ACT-07_CHUNK-9374,ACT-07_CHUNK-9374,True,0.0,0.0
Q_PARA_19,paraphrased,ACT-07_CHUNK-0765_SUB-1,ACT-07_CHUNK-0765_SUB-1,True,0.0,0.0
Q_PARA_20,paraphrased,ACT-02_CHUNK-0803,ACT-02_CHUNK-0803,True,0.0,0.0
Q_PARA_21,paraphrased,ACT-02_CHUNK-0721_SUB-3,ACT-02_CHUNK-0721_SUB-3,True,0.0,0.0
Q_PARA_22,paraphrased,REG-12_CHUNK-0390,REG-12_CHUNK-0390,True,0.0,0.0
Q_PARA_23,paraphrased,IRS-05_CHUNK-1047,IRS-05_CHUNK-1047,True,0.0,0.0
Q_PARA_24,paraphrased,ACT-20_CHUNK-0406,ACT-20_CHUNK-0406,True,0.0,0.0
Q_CONC_0,concept,REG-01_CHUNK-1211_SUB-2_SUB-31,REG-01_CHUNK-1211_SUB-2_SUB-31,True,0.0,0.0
Q_CONC_1,concept,REG-13_CHUNK-2120,REG-13_CHUNK-2120,True,0.0,0.0
Q_CONC_2,concept,ACT-16_CHUNK-0599_SUB-2_SUB-9_SUB-16_SUB-1,ACT-16_CHUNK-0599_SUB-2_SUB-9_SUB-16_SUB-1,True,0.0,0.0
Q_CONC_3,concept,REG-06_CHUNK-0792,REG-06_CHUNK-0792,True,0.0,0.0
Q_CONC_4,concept,IRS-25_CHUNK-0275,IRS-25_CHUNK-0275,True,0.0,0.0
Q_CONC_5,concept,REG-08_CHUNK-0426_SUB-5,REG-08_CHUNK-0426_SUB-5,True,0.0,0.0
Q_CONC_6,concept,ACT-07_CHUNK-2417,ACT-07_CHUNK-2417,True,0.0,0.0
Q_CONC_7,concept,REG-06_CHUNK-0978,REG-06_CHUNK-0978,True,0.0,0.0
Q_CONC_8,concept,ACT-16_CHUNK-0916,ACT-16_CHUNK-0916,True,0.0,0.0
Q_CONC_9,concept,REG-03_CHUNK-1285_SUB-1,REG-03_CHUNK-1285_SUB-1,True,0.0,0.0
Q_CONC_10,concept,IRS-20_CHUNK-0199,IRS-20_CHUNK-0199,True,0.0,0.0
Q_CONC_11,concept,ACT-09_CHUNK-0246_SUB-2_SUB-62,ACT-09_CHUNK-0246_SUB-2_SUB-62,True,0.0,0.0
