query_id,user_query,category,expected_document,expected_document_id,expected_citation,expected_section,expected_page_number,expected_answer,supporting_chunk_ids,difficulty
Q-ACT-001,"According to UNKNOWN, what are the specific rules mentioned on page 1? [Context: ACT-16_CHUNK-0788_SUB-1_SUB-5]",Acts / Statutes,UNKNOWN,UNKNOWN,Acts / Statutes Citation,General Section,1,The expected answer is directly supported by the text in chunk ACT-16_CHUNK-0788_SUB-1_SUB-5 from UNKNOWN.,ACT-16_CHUNK-0788_SUB-1_SUB-5,Medium
Q-ACT-002,"According to UNKNOWN, what are the specific rules mentioned on page 1? [Context: ACT-07_CHUNK-4006]",Acts / Statutes,UNKNOWN,UNKNOWN,Acts / Statutes Citation,General Section,1,The expected answer is directly supported by the text in chunk ACT-07_CHUNK-4006 from UNKNOWN.,ACT-07_CHUNK-4006,Hard
Q-ACT-003,Can you summarize the legal concept discussed in Acts / Statutes Citation? [Context: ACT-02_CHUNK-0473],Acts / Statutes,UNKNOWN,UNKNOWN,Acts / Statutes Citation,General Section,1,The expected answer is directly supported by the text in chunk ACT-02_CHUNK-0473 from UNKNOWN.,ACT-02_CHUNK-0473,Easy
Q-ACT-004,Can you summarize the legal concept discussed in Acts / Statutes Citation? [Context: ACT-07_CHUNK-4087],Acts / Statutes,UNKNOWN,UNKNOWN,Acts / Statutes Citation,General Section,1,The expected answer is directly supported by the text in chunk ACT-07_CHUNK-4087 from UNKNOWN.,ACT-07_CHUNK-4087,Medium
Q-ACT-005,"According to UNKNOWN, what are the specific rules mentioned on page 1? [Context: ACT-09_CHUNK-0361_SUB-1_SUB-23]",Acts / Statutes,UNKNOWN,UNKNOWN,Acts / Statutes Citation,General Section,1,The expected answer is directly supported by the text in chunk ACT-09_CHUNK-0361_SUB-1_SUB-23 from UNKNOWN.,ACT-09_CHUNK-0361_SUB-1_SUB-23,Medium
Q-ACT-006,What does Acts / Statutes Citation state regarding its core provisions? [Context: ACT-16_CHUNK-0619],Acts / Statutes,UNKNOWN,UNKNOWN,Acts / Statutes Citation,General Section,1,The expected answer is directly supported by the text in chunk ACT-16_CHUNK-0619 from UNKNOWN.,ACT-16_CHUNK-0619,Medium
Q-ACT-007,Can you summarize the legal concept discussed in Acts / Statutes Citation? [Context: ACT-07_CHUNK-2980_SUB-11],Acts / Statutes,UNKNOWN,UNKNOWN,Acts / Statutes Citation,General Section,1,The expected answer is directly supported by the text in chunk ACT-07_CHUNK-2980_SUB-11 from UNKNOWN.,ACT-07_CHUNK-2980_SUB-11,Medium
Q-ACT-008,Can you summarize the legal concept discussed in Acts / Statutes Citation? [Context: ACT-04_CHUNK-1057_SUB-6],Acts / Statutes,UNKNOWN,UNKNOWN,Acts / Statutes Citation,General Section,1,The expected answer is directly supported by the text in chunk ACT-04_CHUNK-1057_SUB-6 from UNKNOWN.,ACT-04_CHUNK-1057_SUB-6,Medium
Q-ACT-009,What is the definition of the term described in General Section? [Context: ACT-09_CHUNK-0932_SUB-3],Acts / Statutes,UNKNOWN,UNKNOWN,Acts / Statutes Citation,General Section,1,The expected answer is directly supported by the text in chunk ACT-09_CHUNK-0932_SUB-3 from UNKNOWN.,ACT-09_CHUNK-0932_SUB-3,Medium
Q-ACT-010,"According to UNKNOWN, what are the specific rules mentioned on page 1? [Context: ACT-13_CHUNK-0457_SUB-2_SUB-1]",Acts / Statutes,UNKNOWN,UNKNOWN,Acts / Statutes Citation,General Section,1,The expected answer is directly supported by the text in chunk ACT-13_CHUNK-0457_SUB-2_SUB-1 from UNKNOWN.,ACT-13_CHUNK-0457_SUB-2_SUB-1,Easy
Q-ACT-011,Explain the requirements found in General Section of UNKNOWN. [Context: ACT-16_CHUNK-0599_SUB-2_SUB-9_SUB-31],Acts / Statutes,UNKNOWN,UNKNOWN,Acts / Statutes Citation,General Section,1,The expected answer is directly supported by the text in chunk ACT-16_CHUNK-0599_SUB-2_SUB-9_SUB-31 from UNKNOWN.,ACT-16_CHUNK-0599_SUB-2_SUB-9_SUB-31,Medium
Q-ACT-012,What does Acts / Statutes Citation state regarding its core provisions? [Context: ACT-07_CHUNK-0320],Acts / Statutes,UNKNOWN,UNKNOWN,Acts / Statutes Citation,General Section,1,The expected answer is directly supported by the text in chunk ACT-07_CHUNK-0320 from UNKNOWN.,ACT-07_CHUNK-0320,Medium
Q-ACT-013,What does Acts / Statutes Citation state regarding its core provisions? [Context: ACT-07_CHUNK-5934_SUB-1],Acts / Statutes,UNKNOWN,UNKNOWN,Acts / Statutes Citation,General Section,1,The expected answer is directly supported by the text in chunk ACT-07_CHUNK-5934_SUB-1 from UNKNOWN.,ACT-07_CHUNK-5934_SUB-1,Medium
