query_id,query_type,ground_truth,retrieved_top_1,found_in_top_5,latency_s
Q_CIT_0,citation,ACT-20_CHUNK-0301_SUB-3,ACT-20_CHUNK-0301_SUB-3,True,0.0
Q_CIT_1,citation,ACT-07_CHUNK-4822,ACT-07_CHUNK-4822,True,0.0
Q_CIT_2,citation,REG-08_CHUNK-1140_SUB-7,REG-08_CHUNK-1140_SUB-7,True,0.0
Q_CIT_3,citation,ACT-07_CHUNK-4346_SUB-1,ACT-07_CHUNK-4346_SUB-1,True,0.0
Q_CIT_4,citation,ACT-15_CHUNK-0266,ACT-15_CHUNK-0266,True,0.0
Q_CIT_5,citation,REG-15_CHUNK-1001_SUB-6,REG-15_CHUNK-1001_SUB-6,True,0.0
Q_CIT_6,citation,ACT-07_CHUNK-3033,ACT-07_CHUNK-3033,True,0.0
Q_CIT_7,citation,ACT-07_CHUNK-3190,ACT-07_CHUNK-3190,True,0.0
Q_CIT_8,citation,REG-12_CHUNK-0465_SUB-5,REG-12_CHUNK-0465_SUB-5,True,0.0
Q_CIT_9,citation,REG-03_CHUNK-0365_SUB-5,REG-03_CHUNK-0365_SUB-5,True,0.0
Q_CIT_10,citation,IRS-11_CHUNK-0355,IRS-11_CHUNK-0355,True,0.0
Q_CIT_11,citation,IRS-14_CHUNK-0037,IRS-14_CHUNK-0037,True,0.0
Q_CIT_12,citation,IRS-05_CHUNK-0030,IRS-05_CHUNK-0030,True,0.0
Q_CIT_13,citation,ACT-16_CHUNK-1305_SUB-2,ACT-16_CHUNK-1305_SUB-2,True,0.0
Q_CIT_14,citation,REG-12_CHUNK-0200_SUB-7,REG-12_CHUNK-0200_SUB-7,True,0.0
Q_CIT_15,citation,IRS-05_CHUNK-2073,IRS-05_CHUNK-2073,True,0.0
Q_CIT_16,citation,ACT-07_CHUNK-6101,ACT-07_CHUNK-6101,True,0.0
Q_CIT_17,citation,ACT-07_CHUNK-5229,ACT-07_CHUNK-5229,True,0.0
Q_CIT_18,citation,REG-06_CHUNK-1390,REG-06_CHUNK-1390,True,0.0
Q_CIT_19,citation,REG-02_CHUNK-1200,REG-02_CHUNK-1200,True,0.0
Q_KEY_0,keyword,ACT-20_CHUNK-0301_SUB-3,ACT-20_CHUNK-0301_SUB-3,True,0.0
Q_KEY_1,keyword,ACT-07_CHUNK-4822,ACT-07_CHUNK-4822,True,0.0
Q_KEY_2,keyword,REG-08_CHUNK-1140_SUB-7,REG-08_CHUNK-1140_SUB-7,True,0.0
Q_KEY_3,keyword,ACT-07_CHUNK-4346_SUB-1,ACT-07_CHUNK-4346_SUB-1,True,0.0
